State,Airport Name,Loc ID,Associated City,County,Enplanements,,,,,,,,,,,,,,
FL,Eglin AFB/Destin-Ft Walton Beach,VPS,Valparaiso,Okaloosa,"373,072",,,,,,,,,,,,,,
FL,Key West International,EYW,Key West,Monroe,"362,108",,,,,,,,,,,,,,
FL,Tallahassee International,TLH,Tallahassee,Leon,"332,777",,,,,,,,,,,,,,
FL,Daytona Beach International,DAB,Daytona Beach,Volusia,"306,360",,,,,,,,,,,,,,
FL,Melbourne International,MLB,Melbourne,Brevard,"220,393",,,,,,,,,,,,,,
FL,Gainesville Regional,GNV,Gainesville,Alachua,"213,225",,,,,,,,,,,,,,
FL,Northeast Florida Regional,SGJ,Saint Augustine,St. Johns,"22,030",,,,,,,,,,,,,,
GA,Hartsfield - Jackson Atlanta International,ATL,Atlanta,Fulton,"49,340,732",,,,,,,,,,,,,,
GA,Savannah/Hilton Head International,SAV,Savannah,Chatham,"980,531",,,,,,,,,,,,,,
GA,Augusta Regional at Bush Field,AGS,Augusta,Richmond,"271,915",,,,,,,,,,,,,,
GA,Columbus,CSG,Columbus,Muscogee,"51,790",,,,,,,,,,,,,,
GA,Valdosta Regional,VLD,Valdosta,Lowndes,"39,544",,,,,,,,,,,,,,
GA,Brunswick Golden Isles,BQK,Brunswick,Glynn,"34,561",,,,,,,,,,,,,,
GA,Southwest Georgia Regional,ABY,Albany,Dougherty,"33,949",,,,,,,,,,,,,,
GU,Guam International,GUM,Tamuning,Guam,"1,420,500",,,,,,,,,,,,,,
HI,Honolulu International,HNL,Honolulu,Oahu,"9,479,094",,,,,,,,,,,,,,
HI,Kahului,OGG,Kahului,Maui,"3,220,753",,,,,,,,,,,,,,
HI,Lihue,LIH,Lihue,Kauai,"1,491,688",,,,,,,,,,,,,,
HI,Kona International at Keahole,KOA,Kailua Kona,Hawaii,"1,485,777",,,,,,,,,,,,,,
HI,Hilo International,ITO,Hilo,Hawaii,"627,171",,,,,,,,,,,,,,
HI,Molokai,MKK,Kaunakakai,Molokai,"90,122",,,,,,,,,,,,,,
HI,Lanai,LNY,Lanai City,Lanai,"40,599",,,,,,,,,,,,,,
HI,Kalaupapa,LUP,Kalaupapa,Molokai,"8,576",,,,,,,,,,,,,,
HI,Kalaeloa (John Rodgers Field),JRF,Kapolei,Oahu,"5,347",,,,,,,,,,,,,,
HI,Waimea-Kohala,MUE,Kamuela,Hawaii,"4,930",,,,,,,,,,,,,,
IA,Des Moines International,DSM,Des Moines,Polk,"1,156,462",,,,,,,,,,,,,,
IA,The Eastern Iowa,CID,Cedar Rapids,Linn,"557,383",,,,,,,,,,,,,,
IA,Dubuque Regional,DBQ,Dubuque,Dubuque,"38,248",,,,,,,,,,,,,,
IA,Waterloo Regional,ALO,Waterloo,Black Hawk,"26,950",,,,,,,,,,,,,,
IA,Sioux Gateway/Col Bud Day Field,SUX,Sioux City,Woodbury,"26,104",,,,,,,,,,,,,,
IA,Southeast Iowa Regional,BRL,Burlington,Des Moines,"9,000",,,,,,,,,,,,,,
IA,Mason City Municipal,MCW,Mason City,Cerro Gordo,"6,752",,,,,,,,,,,,,,
IA,Fort Dodge Regional,FOD,Fort Dodge,Webster,"5,228",,,,,,,,,,,,,,
ID,Boise Air Terminal/Gowen Field,BOI,Boise,Ada,"1,487,777",,,,,,,,,,,,,,
ID,Idaho Falls Regional,IDA,Idaho Falls,Bonneville,"147,923",,,,,,,,,,,,,,
ID,Friedman Memorial,SUN,Hailey,Blaine,"67,955",,,,,,,,,,,,,,
ID,Lewiston-Nez Perce County,LWS,Lewiston,Nez Perce,"66,579",,,,,,,,,,,,,,
ID,Joslin Field - Magic Valley Regional,TWF,Twin Falls,Twin Falls,"33,806",,,,,,,,,,,,,,
ID,Pocatello Regional,PIH,Arbon Valley,Power,"24,745",,,,,,,,,,,,,,
IL,Chicago O'Hare International,ORD,Chicago,Cook,"36,305,668",,,,,,,,,,,,,,
IL,Chicago Midway International,MDW,Chicago,Cook,"10,830,850",,,,,,,,,,,,,,
